Longitude,Latitude,Depth,Magnitude,Mag. Type,Year,Month,Day,Time
117.17,-9.012,96.7,5.5,mw,1991,10,19,8:48:19
115.655,-8.195,148,4.8,mb,1991,10,21,11:40:45
116.707,-10.285,50.8,4.3,mb,1991,11,6,14:57:23
117.865,-8.405,33,4.5,mb,1991,11,10,23:25:08
117.79,-8.588,33,4.4,mb,1991,11,15,6:22:53
116.706,-8.868,161.2,4.9,mb,1991,11,17,4:34:50
116.242,-11.612,33,4.2,mb,1991,11,22,20:32:10
116.78,-8.476,33,4.2,mb,1991,12,19,18:28:36
117.622,-8.008,70.5,4.3,mb,1991,12,31,16:13:24
117.606,-9.406,33,4.7,mb,1992,2,15,11:42:44
116.229,-8.135,199.7,5.2,mb,1992,2,20,22:48:43
117.464,-7.751,280.3,5.6,mw,1992,3,24,17:19:30
114.734,-8.345,17.2,5.2,mb,1992,3,30,13:42:17
117.141,-11.662,33,3.7,mb,1992,4,6,23:50:40
117.474,-9.923,33,3.2,mb,1992,4,9,12:44:51
116.244,-8.785,33,4,mb,1992,4,13,21:29:23
117.027,-9.777,38,5.1,mb,1992,5,17,13:43:02
117.604,-8.748,143.4,5.5,mwb,1992,5,21,18:05:52
114.931,-11.083,33,4.6,mb,1992,6,2,21:41:04
117.603,-11.37,33,4.5,mb,1992,6,11,1:26:48
114.748,-9.598,45.4,4.7,mb,1992,6,25,13:07:06
117.658,-9.369,86.3,3.7,mb,1992,8,4,18:35:14
117.833,-7.631,33,4.4,mb,1992,9,23,18:10:18
117.093,-10.022,26.9,5.6,mw,1992,10,18,0:58:05
117.149,-11.549,33,4.7,mb,1992,10,29,8:53:57
116.915,-10.597,42.8,4.6,mb,1992,11,12,0:13:34
117.134,-9.282,33,4.5,mb,1992,11,12,4:01:09
114.962,-11.475,33,5,mb,1992,11,15,15:57:07
116.463,-7.866,35.8,5,mb,1992,12,16,5:07:58
117.389,-11.538,33,4.6,mb,1993,1,20,0:29:29
114.733,-11.06,33,4.7,mb,1993,1,27,12:11:08
117.392,-7.784,280.1,5.2,mw,1993,2,17,5:59:49
115.06,-9.024,86.4,4.9,mb,1993,3,10,16:09:38
117.091,-11.611,33,4,mb,1993,4,13,10:28:37
114.66,-10.805,33,4.6,mb,1993,5,20,2:04:51
117.31,-10.389,33,3.9,mb,1993,6,3,13:48:03
116.439,-9.014,33,4.3,mb,1993,6,17,4:05:47
115.873,-9.177,88.4,5.1,mw,1993,6,27,15:32:59
117.881,-8.192,24,5.2,mb,1993,9,17,21:20:20
114.471,-9.763,33,4.3,mb,1993,10,3,18:12:11
115.23,-11.221,33,4.9,mb,1993,10,14,13:11:39
116.891,-11.517,33,5,mb,1993,11,14,7:10:24
117.332,-11.594,33,4.8,mb,1993,12,18,1:11:26
116.151,-10.926,33,5.1,mb,1994,1,9,2:56:57
114.699,-8.746,115.2,5,mb,1994,1,16,19:12:58
117.664,-11.383,33,4.9,mb,1994,1,18,20:04:31
117.182,-8.415,33,4.7,mb,1994,3,7,17:07:26
117.779,-11.59,33,4.7,mb,1994,4,17,8:39:59
